timestamp,username,text,isquote,isretweet,favorites,retweets
10/23/2019 22:51,SenAlexander,i told them that i am glad the trump administration is still focused on stopping the illegal flow of fentanyl from china by holding the chinese to their promise to designate all forms of fentanyl as a controlled substance,FALSE,FALSE,15,4
10/28/2019 18:50,SenatorBaldwin,trumps trade war with china is not working for #madeinwi manufacturing it has caused chaos uncertainty and layoffswisconsin needs @realdonaldtrump to deliver results,FALSE,FALSE,27,19
10/3/2019 18:45,SenatorBaldwin,this is your democracy and we should stand united and put our country first sending a clear message to @realdonaldtrump and the rest of the world that we will not tolerate foreign interference from ukraine china or any foreign country in our american elections,FALSE,FALSE,121,29
10/22/2019 18:43,MarshaBlackburn,today i joined my tn house colleagues in urging @ustraderep to demand china open its market to us polysiliconwe cannot let china dominate critical technology markets such as polysilicon doing so poses serious risks to us national securityover 700 high-skilled jobs in tn,FALSE,FALSE,96,39
10/13/2019 12:58,MarshaBlackburn,coming up: ill be on @ffweekend at 9:15am et/8:15am ct to discuss phase one of the trade deal with chinathe dems relentless quest for impeachment,FALSE,FALSE,117,26
10/3/2019 22:45,SenBlumenthal,interference by ukraine china or any other foreign country in our elections will not be tolerated full stop our democracynational security are not up for grabs by whoever can provide the president political dirt,FALSE,FALSE,375,100
10/21/2019 13:44,SenatorBraun,"the negotiations with china are a great wake-up call for companies who manufacture most of their products in china to ""get some eggs out of that basket"" says sen mike braun ",FALSE,TRUE,0,40
10/3/2019 19:13,SenatorCantwell,im glad the usjapan agreed to open up japanese markets to us agricultural exports like wheatwineto grow digital trade the trump administration should also end the trade war with chinatariffs costing american families more than $1000 a year,FALSE,FALSE,30,14
10/3/2019 22:02,SenatorCarper,"george washington 1796: ""foreign influence is one of the most baneful foes of republican government""@realdonaldtrump 2019: ""[ukraine] should investigate the bidenschina likewise should start an investigation""to my republican colleagues: what will it take?",FALSE,FALSE,104,50
10/24/2019 20:31,SenBobCasey,ahead of the global steel forum @sensherrodbrown @senatorbraun @senbobcaseyi sent a letter to @ustraderep urging the admin to prioritize steel overcapacity for too long foreign countries like #china have not been held accountable for overcapacity of steel products,FALSE,TRUE,0,15
